stage_id,well_id,stage_number,start_datetime,duration_min,fluid_type,proppant_type,status,cluster_count,perforation_start_m,perforation_end_m
STG-00019,WL-001,19,2021-09-20 08:10,199.0,Slickwater,100 Mesh Sand,Completed,7,1613.0,1697.0
STG-00020,WL-001,20,2021-09-19 20:24,223.0,Slickwater,100 Mesh Sand,Completed,8,1697.0,1781.0
STG-00021,WL-001,21,2021-09-19 00:47,186.0,Crosslinked Gel,40/70 Sand,Completed,6,1781.0,1865.0
STG-00022,WL-001,22,2021-09-20 22:29,114.0,Hybrid,30/50 Ceramic,Completed,6,1865.0,1949.0
STG-00023,WL-001,23,2021-09-19 04:24,181.0,Crosslinked Gel,100 Mesh Sand,Completed,8,1949.0,2033.0
STG-00024,WL-001,24,2021-09-19 17:39,105.0,Slickwater,40/70 Sand,Completed,6,2033.0,2117.0
STG-00025,WL-001,25,2021-09-19 08:18,91.0,Slickwater,40/70 Sand,Completed,6,2117.0,2201.0
STG-00026,WL-001,26,2021-09-20 00:07,172.0,Hybrid,30/50 Ceramic,Completed,5,2201.0,2285.0
STG-00027,WL-001,27,2021-09-21 11:37,188.0,Crosslinked Gel,20/40 RCP,Completed,6,2285.0,2369.0
STG-00028,WL-001,28,2021-09-22 10:19,197.0,Slickwater,100 Mesh Sand,Completed,7,2369.0,2453.0
STG-00029,WL-001,29,2021-09-22 09:39,139.0,Slickwater,100 Mesh Sand,Completed,6,2453.0,2537.0
STG-00030,WL-002,1,2018-12-19 00:00,187.0,Crosslinked Gel,40/70 Sand,Completed,7,100.0,149.0
STG-00031,WL-002,2,2018-12-19 04:39,189.0,Linear Gel,100 Mesh Sand,Completed,4,149.0,198.0
STG-00032,WL-002,3,2018-12-19 06:27,104.0,Hybrid,100 Mesh Sand,Completed,6,198.0,248.0
STG-00033,WL-002,4,2018-12-19 14:14,130.0,Hybrid,20/40 RCP,Completed,5,248.0,297.0
STG-00034,WL-002,5,2018-12-19 12:30,236.0,Crosslinked Gel,100 Mesh Sand,Completed,6,297.0,346.0
STG-00035,WL-002,6,2018-12-19 18:09,224.0,Hybrid,100 Mesh Sand,Completed,6,346.0,395.0
STG-00036,WL-002,7,2018-12-20 08:02,209.0,Linear Gel,40/70 Sand,Completed,5,395.0,444.0
STG-00037,WL-002,8,2018-12-20 15:09,177.0,Hybrid,20/40 RCP,Completed,4,444.0,493.0
STG-00038,WL-002,9,2018-12-20 04:18,119.0,Crosslinked Gel,20/40 RCP,Completed,5,493.0,542.0
STG-00039,WL-002,10,2018-12-20 10:12,132.0,Slickwater,20/40 RCP,Completed,4,542.0,592.0
STG-00040,WL-002,11,2018-12-21 07:45,187.0,Hybrid,40/70 Sand,Completed,7,592.0,641.0
STG-00041,WL-002,12,2018-12-20 20:32,231.0,Hybrid,40/70 Sand,Screen-out,4,641.0,690.0
STG-00042,WL-002,13,2018-12-21 11:45,227.0,Linear Gel,30/50 Ceramic,Completed,6,690.0,739.0
STG-00043,WL-002,14,2018-12-22 00:42,92.0,Crosslinked Gel,30/50 Ceramic,Completed,8,739.0,788.0
STG-00044,WL-002,15,2018-12-21 10:47,154.0,Crosslinked Gel,100 Mesh Sand,Screen-out,4,788.0,838.0
STG-00045,WL-002,16,2018-12-22 12:28,235.0,Crosslinked Gel,40/70 Sand,Completed,8,838.0,887.0
STG-00046,WL-002,17,2018-12-22 22:12,134.0,Crosslinked Gel,100 Mesh Sand,Completed,4,887.0,936.0
STG-00047,WL-002,18,2018-12-22 09:25,218.0,Crosslinked Gel,30/50 Ceramic,Completed,7,936.0,985.0
STG-00048,WL-002,19,2018-12-22 14:44,115.0,Slickwater,20/40 RCP,Completed,8,985.0,1034.0
STG-00049,WL-002,20,2018-12-21 19:50,230.0,Slickwater,20/40 RCP,Completed,4,1034.0,1083.0
STG-00050,WL-002,21,2018-12-22 19:11,176.0,Hybrid,30/50 Ceramic,Completed,7,1083.0,1132.0
STG-00051,WL-002,22,2018-12-21 19:24,182.0,Crosslinked Gel,30/50 Ceramic,Partial,4,1132.0,1182.0
STG-00052,WL-002,23,2018-12-23 17:30,111.0,Crosslinked Gel,30/50 Ceramic,Completed,7,1182.0,1231.0
STG-00053,WL-002,24,2018-12-22 19:30,222.0,Crosslinked Gel,40/70 Sand,Completed,5,1231.0,1280.0
STG-00054,WL-002,25,2018-12-23 06:16,195.0,Linear Gel,40/70 Sand,Completed,8,1280.0,1329.0
STG-00055,WL-002,26,2018-12-23 21:40,144.0,Linear Gel,100 Mesh Sand,Screen-out,6,1329.0,1378.0
STG-00056,WL-002,27,2018-12-23 04:22,211.0,Linear Gel,30/50 Ceramic,Completed,7,1378.0,1428.0
STG-00057,WL-002,28,2018-12-23 20:47,220.0,Hybrid,20/40 RCP,Completed,5,1428.0,1477.0
STG-00058,WL-002,29,2018-12-24 19:20,167.0,Crosslinked Gel,30/50 Ceramic,Screen-out,4,1477.0,1526.0
STG-00059,WL-002,30,2018-12-25 14:12,210.0,Hybrid,30/50 Ceramic,Completed,5,1526.0,1575.0
STG-00060,WL-002,31,2018-12-25 18:35,195.0,Hybrid,100 Mesh Sand,Completed,4,1575.0,1624.0
STG-00061,WL-002,32,2018-12-23 19:46,224.0,Linear Gel,100 Mesh Sand,Completed,7,1624.0,1673.0
STG-00062,WL-002,33,2018-12-24 15:47,146.0,Hybrid,20/40 RCP,Completed,7,1673.0,1722.0
STG-00063,WL-002,34,2018-12-24 18:33,177.0,Hybrid,100 Mesh Sand,Completed,4,1722.0,1772.0
STG-00064,WL-002,35,2018-12-26 13:23,160.0,Hybrid,40/70 Sand,Completed,8,1772.0,1821.0
STG-00065,WL-002,36,2018-12-25 09:46,133.0,Hybrid,100 Mesh Sand,Screen-out,7,1821.0,1870.0
STG-00066,WL-002,37,2018-12-24 02:24,95.0,Linear Gel,30/50 Ceramic,Completed,7,1870.0,1919.0
STG-00067,WL-002,38,2018-12-26 11:00,213.0,Linear Gel,20/40 RCP,Completed,5,1919.0,1968.0
STG-00068,WL-002,39,2018-12-27 06:46,109.0,Linear Gel,20/40 RCP,Completed,6,1968.0,2018.0
STG-00069,WL-002,40,2018-12-27 12:57,205.0,Crosslinked Gel,20/40 RCP,Screen-out,5,2018.0,2067.0
STG-00070,WL-002,41,2018-12-25 08:57,183.0,Slickwater,30/50 Ceramic,Completed,5,2067.0,2116.0
STG-00071,WL-002,42,2018-12-25 12:25,98.0,Crosslinked Gel,100 Mesh Sand,Completed,5,2116.0,2165.0
STG-00072,WL-003,1,2018-04-20 00:00,171.0,Hybrid,40/70 Sand,Completed,4,100.0,228.0
STG-00073,WL-003,2,2018-04-20 04:14,199.0,Crosslinked Gel,20/40 RCP,Screen-out,7,228.0,357.0
STG-00074,WL-003,3,2018-04-20 06:22,167.0,Linear Gel,20/40 RCP,Completed,8,357.0,485.0
STG-00075,WL-003,4,2018-04-20 17:30,209.0,Slickwater,20/40 RCP,Completed,7,485.0,613.0
STG-00076,WL-003,5,2018-04-20 12:04,156.0,Crosslinked Gel,30/50 Ceramic,Completed,7,613.0,741.0
STG-00077,WL-003,6,2018-04-21 03:48,94.0,Linear Gel,40/70 Sand,Screen-out,7,741.0,870.0
STG-00078,WL-003,7,2018-04-20 21:56,215.0,Linear Gel,20/40 RCP,Completed,4,870.0,998.0
STG-00079,WL-003,8,2018-04-21 05:09,151.0,Linear Gel,40/70 Sand,Completed,7,998.0,1126.0
STG-00080,WL-003,9,2018-04-21 22:04,113.0,Slickwater,20/40 RCP,Completed,8,1126.0,1254.0
STG-00081,WL-003,10,2018-04-21 18:14,172.0,Slickwater,100 Mesh Sand,Completed,7,1254.0,1383.0
STG-00082,WL-003,11,2018-04-21 10:04,189.0,Linear Gel,40/70 Sand,Completed,4,1383.0,1511.0
STG-00083,WL-003,12,2018-04-21 17:35,233.0,Crosslinked Gel,40/70 Sand,Completed,7,1511.0,1639.0
STG-00084,WL-003,13,2018-04-21 23:45,173.0,Linear Gel,30/50 Ceramic,Completed,7,1639.0,1768.0
STG-00085,WL-003,14,2018-04-22 00:50,153.0,Slickwater,20/40 RCP,Completed,4,1768.0,1896.0
STG-00086,WL-003,15,2018-04-23 01:27,143.0,Slickwater,30/50 Ceramic,Completed,5,1896.0,2024.0
STG-00087,WL-003,16,2018-04-23 02:15,92.0,Slickwater,100 Mesh Sand,Completed,5,2024.0,2152.0
STG-00088,WL-003,17,2018-04-22 09:34,97.0,Slickwater,40/70 Sand,Completed,5,2152.0,2281.0
STG-00089,WL-003,18,2018-04-22 09:26,218.0,Slickwater,40/70 Sand,Completed,7,2281.0,2409.0
STG-00090,WL-003,19,2018-04-23 19:46,161.0,Crosslinked Gel,40/70 Sand,Completed,8,2409.0,2537.0
STG-00091,WL-003,20,2018-04-23 19:36,164.0,Slickwater,40/70 Sand,Completed,6,2537.0,2665.0
STG-00092,WL-003,21,2018-04-22 18:29,116.0,Slickwater,30/50 Ceramic,Completed,8,2665.0,2794.0
STG-00093,WL-003,22,2018-04-24 09:40,150.0,Linear Gel,20/40 RCP,Completed,5,2794.0,2922.0
STG-00094,WL-004,1,2021-07-31 00:00,185.0,Hybrid,100 Mesh Sand,Screen-out,6,100.0,261.0
STG-00095,WL-004,2,2021-07-31 05:33,146.0,Slickwater,100 Mesh Sand,Completed,6,261.0,422.0
STG-00096,WL-004,3,2021-07-31 09:11,165.0,Crosslinked Gel,100 Mesh Sand,Completed,8,422.0,582.0
STG-00097,WL-004,4,2021-07-31 14:49,189.0,Slickwater,20/40 RCP,Completed,7,582.0,743.0
STG-00098,WL-004,5,2021-07-31 13:15,101.0,Crosslinked Gel,20/40 RCP,Completed,5,743.0,904.0
STG-00099,WL-004,6,2021-07-31 21:31,94.0,Crosslinked Gel,20/40 RCP,Screen-out,7,904.0,1064.0
STG-00100,WL-004,7,2021-08-01 01:50,231.0,Crosslinked Gel,30/50 Ceramic,Completed,5,1064.0,1225.0
STG-00101,WL-004,8,2021-08-01 14:26,148.0,Slickwater,30/50 Ceramic,Completed,7,1225.0,1386.0
STG-00102,WL-004,9,2021-08-01 05:51,159.0,Linear Gel,20/40 RCP,Completed,6,1386.0,1547.0
STG-00103,WL-004,10,2021-08-01 03:46,231.0,Crosslinked Gel,40/70 Sand,Completed,7,1547.0,1708.0
STG-00104,WL-004,11,2021-08-01 12:21,234.0,Crosslinked Gel,30/50 Ceramic,Completed,6,1708.0,1868.0
STG-00105,WL-004,12,2021-08-02 14:03,119.0,Crosslinked Gel,100 Mesh Sand,Completed,8,1868.0,2029.0
STG-00106,WL-004,13,2021-08-02 22:07,105.0,Slickwater,40/70 Sand,Completed,7,2029.0,2190.0
STG-00107,WL-004,14,2021-08-02 10:03,104.0,Hybrid,20/40 RCP,Completed,7,2190.0,2350.0
STG-00108,WL-004,15,2021-08-02 12:49,101.0,Slickwater,100 Mesh Sand,Completed,6,2350.0,2511.0
STG-00109,WL-004,16,2021-08-02 06:58,217.0,Hybrid,30/50 Ceramic,Completed,8,2511.0,2672.0
STG-00110,WL-004,17,2021-08-02 17:42,212.0,Crosslinked Gel,20/40 RCP,Completed,8,2672.0,2833.0
STG-00111,WL-004,18,2021-08-02 19:52,108.0,Linear Gel,30/50 Ceramic,Completed,6,2833.0,2994.0
STG-00112,WL-004,19,2021-08-02 19:34,184.0,Slickwater,40/70 Sand,Completed,6,2994.0,3154.0
STG-00113,WL-004,20,2021-08-02 15:48,200.0,Hybrid,40/70 Sand,Completed,5,3154.0,3315.0
STG-00114,WL-005,1,2020-07-29 00:00,132.0,Crosslinked Gel,100 Mesh Sand,Completed,5,100.0,157.0
STG-00115,WL-005,2,2020-07-29 03:53,203.0,Crosslinked Gel,40/70 Sand,Completed,6,157.0,213.0
STG-00116,WL-005,3,2020-07-29 06:05,239.0,Hybrid,30/50 Ceramic,Completed,4,213.0,270.0
STG-00117,WL-005,4,2020-07-29 17:46,146.0,Crosslinked Gel,40/70 Sand,Completed,7,270.0,326.0
STG-00118,WL-005,5,2020-07-29 13:13,141.0,Slickwater,30/50 Ceramic,Screen-out,7,326.0,383.0
STG-00119,WL-005,6,2020-07-29 22:10,219.0,Crosslinked Gel,40/70 Sand,Completed,4,383.0,439.0
STG-00120,WL-005,7,2020-07-29 22:32,203.0,Linear Gel,100 Mesh Sand,Completed,4,439.0,496.0
STG-00121,WL-005,8,2020-07-30 05:24,105.0,Slickwater,100 Mesh Sand,Completed,5,496.0,552.0
STG-00122,WL-005,9,2020-07-30 03:34,166.0,Crosslinked Gel,100 Mesh Sand,Completed,5,552.0,609.0
STG-00123,WL-005,10,2020-07-30 06:11,138.0,Linear Gel,40/70 Sand,Completed,8,609.0,665.0
STG-00124,WL-005,11,2020-07-30 17:24,148.0,Linear Gel,30/50 Ceramic,Completed,8,665.0,722.0
STG-00125,WL-005,12,2020-07-31 17:40,226.0,Crosslinked Gel,100 Mesh Sand,Completed,8,722.0,778.0
STG-00126,WL-005,13,2020-07-31 22:33,138.0,Slickwater,40/70 Sand,Screen-out,5,778.0,835.0
STG-00127,WL-005,14,2020-07-31 01:19,233.0,Slickwater,40/70 Sand,Completed,5,835.0,891.0
STG-00128,WL-005,15,2020-07-31 01:18,185.0,Slickwater,40/70 Sand,Completed,4,891.0,948.0
STG-00129,WL-005,16,2020-07-31 15:22,134.0,Linear Gel,30/50 Ceramic,Completed,4,948.0,1004.0
STG-00130,WL-005,17,2020-07-31 11:06,191.0,Crosslinked Gel,20/40 RCP,Completed,4,1004.0,1061.0
STG-00131,WL-005,18,2020-08-01 14:03,209.0,Crosslinked Gel,40/70 Sand,Completed,7,1061.0,1117.0
STG-00132,WL-005,19,2020-07-31 12:11,104.0,Hybrid,40/70 Sand,Completed,6,1117.0,1174.0
STG-00133,WL-005,20,2020-08-02 08:07,99.0,Slickwater,100 Mesh Sand,Completed,5,1174.0,1230.0
STG-00134,WL-005,21,2020-08-02 11:33,156.0,Crosslinked Gel,20/40 RCP,Completed,4,1230.0,1287.0
STG-00135,WL-005,22,2020-08-01 20:31,143.0,Crosslinked Gel,20/40 RCP,Completed,6,1287.0,1343.0
STG-00136,WL-005,23,2020-08-02 03:01,111.0,Linear Gel,20/40 RCP,Completed,4,1343.0,1400.0
STG-00137,WL-005,24,2020-08-02 14:15,183.0,Linear Gel,30/50 Ceramic,Completed,8,1400.0,1456.0
STG-00138,WL-005,25,2020-08-01 18:01,103.0,Slickwater,40/70 Sand,Completed,8,1456.0,1513.0
STG-00139,WL-005,26,2020-08-02 23:02,101.0,Slickwater,30/50 Ceramic,Completed,8,1513.0,1569.0
STG-00140,WL-005,27,2020-08-01 09:08,196.0,Hybrid,20/40 RCP,Completed,8,1569.0,1626.0
STG-00141,WL-005,28,2020-08-03 13:46,103.0,Crosslinked Gel,40/70 Sand,Partial,8,1626.0,1682.0
STG-00142,WL-005,29,2020-08-03 00:36,146.0,Linear Gel,100 Mesh Sand,Completed,7,1682.0,1739.0
STG-00143,WL-005,30,2020-08-02 21:16,212.0,Crosslinked Gel,30/50 Ceramic,Screen-out,4,1739.0,1795.0
STG-00144,WL-005,31,2020-08-04 23:11,238.0,Crosslinked Gel,20/40 RCP,Completed,7,1795.0,1852.0
STG-00145,WL-005,32,2020-08-02 23:48,146.0,Linear Gel,100 Mesh Sand,Completed,7,1852.0,1908.0
STG-00146,WL-005,33,2020-08-02 08:27,207.0,Crosslinked Gel,30/50 Ceramic,Completed,4,1908.0,1965.0
STG-00147,WL-005,34,2020-08-06 03:02,154.0,Linear Gel,100 Mesh Sand,Completed,8,1965.0,2021.0
STG-00148,WL-005,35,2020-08-04 05:07,107.0,Slickwater,40/70 Sand,Completed,8,2021.0,2078.0
STG-00149,WL-005,36,2020-08-03 22:59,92.0,Linear Gel,20/40 RCP,Completed,4,2078.0,2134.0
STG-00150,WL-005,37,2020-08-03 09:59,98.0,Hybrid,30/50 Ceramic,Completed,7,2134.0,2191.0
STG-00151,WL-005,38,2020-08-06 16:46,108.0,Linear Gel,100 Mesh Sand,Completed,4,2191.0,2247.0
STG-00152,WL-005,39,2020-08-07 08:56,202.0,Hybrid,40/70 Sand,Screen-out,6,2247.0,2304.0
STG-00153,WL-005,40,2020-08-05 13:26,234.0,Linear Gel,100 Mesh Sand,Completed,5,2304.0,2360.0
STG-00154,WL-005,41,2020-08-07 23:04,133.0,Slickwater,20/40 RCP,Completed,4,2360.0,2417.0
STG-00155,WL-006,1,2022-05-21 00:00,124.0,Linear Gel,30/50 Ceramic,Screen-out,8,100.0,175.0
STG-00156,WL-006,2,2022-05-21 05:06,92.0,Linear Gel,20/40 RCP,Screen-out,7,175.0,249.0
STG-00157,WL-006,3,2022-05-21 07:27,96.0,Hybrid,20/40 RCP,Completed,5,249.0,324.0
STG-00158,WL-006,4,2022-05-21 17:17,169.0,Hybrid,100 Mesh Sand,Partial,6,324.0,399.0
STG-00159,WL-006,5,2022-05-21 21:16,101.0,Linear Gel,30/50 Ceramic,Completed,8,399.0,474.0
STG-00160,WL-006,6,2022-05-21 19:00,235.0,Slickwater,30/50 Ceramic,Completed,6,474.0,548.0
STG-00161,WL-006,7,2022-05-22 09:04,184.0,Linear Gel,40/70 Sand,Completed,7,548.0,623.0
STG-00162,WL-006,8,2022-05-22 08:18,158.0,Crosslinked Gel,30/50 Ceramic,Completed,8,623.0,698.0
STG-00163,WL-006,9,2022-05-22 18:18,178.0,Linear Gel,20/40 RCP,Completed,6,698.0,773.0
STG-00164,WL-006,10,2022-05-23 02:28,97.0,Hybrid,20/40 RCP,Completed,5,773.0,847.0
STG-00165,WL-006,11,2022-05-23 07:40,233.0,Linear Gel,100 Mesh Sand,Completed,6,847.0,922.0
STG-00166,WL-006,12,2022-05-23 09:34,158.0,Linear Gel,20/40 RCP,Completed,5,922.0,997.0
STG-00167,WL-006,13,2022-05-23 05:49,132.0,Slickwater,40/70 Sand,Completed,8,997.0,1072.0
STG-00168,WL-006,14,2022-05-24 04:38,160.0,Crosslinked Gel,100 Mesh Sand,Completed,7,1072.0,1146.0
STG-00169,WL-006,15,2022-05-22 22:11,178.0,Linear Gel,100 Mesh Sand,Completed,5,1146.0,1221.0
STG-00170,WL-006,16,2022-05-23 15:26,236.0,Hybrid,100 Mesh Sand,Partial,7,1221.0,1296.0
STG-00171,WL-006,17,2022-05-24 13:30,195.0,Crosslinked Gel,30/50 Ceramic,Completed,8,1296.0,1371.0
STG-00172,WL-006,18,2022-05-24 14:19,136.0,Slickwater,30/50 Ceramic,Completed,8,1371.0,1445.0
STG-00173,WL-006,19,2022-05-24 02:31,193.0,Crosslinked Gel,20/40 RCP,Completed,8,1445.0,1520.0
STG-00174,WL-006,20,2022-05-23 11:02,227.0,Slickwater,40/70 Sand,Completed,6,1520.0,1595.0
STG-00175,WL-006,21,2022-05-25 23:50,232.0,Slickwater,20/40 RCP,Screen-out,4,1595.0,1669.0
STG-00176,WL-006,22,2022-05-25 14:54,182.0,Slickwater,20/40 RCP,Completed,5,1669.0,1744.0
STG-00177,WL-006,23,2022-05-25 15:48,230.0,Slickwater,100 Mesh Sand,Screen-out,6,1744.0,1819.0
STG-00178,WL-006,24,2022-05-26 03:56,97.0,Crosslinked Gel,30/50 Ceramic,Completed,6,1819.0,1894.0
STG-00179,WL-006,25,2022-05-25 07:00,146.0,Hybrid,20/40 RCP,Completed,8,1894.0,1968.0
STG-00180,WL-006,26,2022-05-26 06:08,238.0,Hybrid,40/70 Sand,Completed,5,1968.0,2043.0
STG-00181,WL-006,27,2022-05-24 12:09,179.0,Linear Gel,40/70 Sand,Completed,7,2043.0,2118.0
STG-00182,WL-006,28,2022-05-27 10:56,235.0,Hybrid,40/70 Sand,Completed,7,2118.0,2193.0
STG-00183,WL-006,29,2022-05-26 17:35,216.0,Linear Gel,30/50 Ceramic,Completed,4,2193.0,2267.0
STG-00184,WL-006,30,2022-05-27 21:12,152.0,Linear Gel,30/50 Ceramic,Completed,8,2267.0,2342.0
STG-00185,WL-006,31,2022-05-25 08:13,98.0,Linear Gel,30/50 Ceramic,Completed,8,2342.0,2417.0
STG-00186,WL-006,32,2022-05-26 00:49,212.0,Linear Gel,30/50 Ceramic,Partial,7,2417.0,2492.0
STG-00187,WL-006,33,2022-05-28 09:08,239.0,Hybrid,20/40 RCP,Completed,7,2492.0,2566.0
STG-00188,WL-006,34,2022-05-25 13:33,205.0,Linear Gel,30/50 Ceramic,Screen-out,8,2566.0,2641.0
STG-00189,WL-006,35,2022-05-26 12:10,217.0,Crosslinked Gel,100 Mesh Sand,Completed,7,2641.0,2716.0
STG-00190,WL-006,36,2022-05-26 13:49,158.0,Slickwater,20/40 RCP,Completed,6,2716.0,2791.0
STG-00191,WL-006,37,2022-05-28 23:46,233.0,Hybrid,30/50 Ceramic,Completed,5,2791.0,2865.0
STG-00192,WL-006,38,2022-05-28 13:39,124.0,Crosslinked Gel,40/70 Sand,Completed,4,2865.0,2940.0
STG-00193,WL-007,1,2019-05-10 00:00,183.0,Crosslinked Gel,20/40 RCP,Completed,4,100.0,168.0
STG-00194,WL-007,2,2019-05-10 04:44,107.0,Hybrid,100 Mesh Sand,Screen-out,6,168.0,236.0
STG-00195,WL-007,3,2019-05-10 07:57,168.0,Linear Gel,40/70 Sand,Completed,5,236.0,303.0
STG-00196,WL-007,4,2019-05-10 10:11,168.0,Crosslinked Gel,30/50 Ceramic,Completed,5,303.0,371.0
STG-00197,WL-007,5,2019-05-10 15:05,173.0,Linear Gel,30/50 Ceramic,Completed,6,371.0,439.0
STG-00198,WL-007,6,2019-05-11 03:03,221.0,Linear Gel,100 Mesh Sand,Completed,5,439.0,507.0
STG-00199,WL-007,7,2019-05-11 07:34,110.0,Hybrid,20/40 RCP,Completed,8,507.0,574.0
STG-00200,WL-007,8,2019-05-11 04:40,203.0,Linear Gel,100 Mesh Sand,Completed,6,574.0,642.0
STG-00201,WL-007,9,2019-05-11 12:52,196.0,Linear Gel,30/50 Ceramic,Completed,6,642.0,710.0
STG-00202,WL-007,10,2019-05-11 18:46,110.0,Crosslinked Gel,100 Mesh Sand,Completed,5,710.0,778.0
STG-00203,WL-007,11,2019-05-11 20:08,143.0,Crosslinked Gel,40/70 Sand,Completed,4,778.0,845.0
STG-00204,WL-007,12,2019-05-12 05:58,149.0,Linear Gel,30/50 Ceramic,Completed,7,845.0,913.0
STG-00205,WL-007,13,2019-05-11 16:12,226.0,Slickwater,100 Mesh Sand,Screen-out,6,913.0,981.0
STG-00206,WL-007,14,2019-05-13 05:50,167.0,Slickwater,100 Mesh Sand,Completed,5,981.0,1049.0
STG-00207,WL-007,15,2019-05-13 07:15,149.0,Hybrid,20/40 RCP,Screen-out,7,1049.0,1116.0
STG-00208,WL-007,16,2019-05-12 13:41,219.0,Linear Gel,40/70 Sand,Screen-out,7,1116.0,1184.0
STG-00209,WL-007,17,2019-05-13 07:26,112.0,Linear Gel,20/40 RCP,Completed,6,1184.0,1252.0
STG-00210,WL-007,18,2019-05-12 04:40,164.0,Crosslinked Gel,40/70 Sand,Completed,7,1252.0,1320.0
STG-00211,WL-007,19,2019-05-13 06:00,159.0,Hybrid,30/50 Ceramic,Partial,4,1320.0,1387.0
STG-00212,WL-007,20,2019-05-14 16:54,164.0,Crosslinked Gel,30/50 Ceramic,Completed,4,1387.0,1455.0
STG-00213,WL-007,21,2019-05-13 11:53,185.0,Hybrid,100 Mesh Sand,Completed,7,1455.0,1523.0
STG-00214,WL-007,22,2019-05-12 20:46,101.0,Hybrid,100 Mesh Sand,Completed,4,1523.0,1591.0
STG-00215,WL-007,23,2019-05-14 21:55,109.0,Hybrid,40/70 Sand,Completed,8,1591.0,1659.0
STG-00216,WL-007,24,2019-05-13 11:09,111.0,Hybrid,40/70 Sand,Screen-out,5,1659.0,1726.0
STG-00217,WL-007,25,2019-05-13 23:39,117.0,Hybrid,100 Mesh Sand,Completed,6,1726.0,1794.0
STG-00218,WL-007,26,2019-05-15 19:22,225.0,Hybrid,40/70 Sand,Completed,8,1794.0,1862.0
STG-00219,WL-007,27,2019-05-14 01:33,190.0,Hybrid,100 Mesh Sand,Completed,4,1862.0,1930.0
STG-00220,WL-007,28,2019-05-13 19:40,119.0,Crosslinked Gel,40/70 Sand,Completed,8,1930.0,1997.0
STG-00221,WL-007,29,2019-05-14 15:11,115.0,Hybrid,30/50 Ceramic,Completed,4,1997.0,2065.0
STG-00222,WL-007,30,2019-05-14 02:01,117.0,Linear Gel,100 Mesh Sand,Completed,4,2065.0,2133.0
STG-00223,WL-007,31,2019-05-15 12:51,108.0,Crosslinked Gel,100 Mesh Sand,Completed,7,2133.0,2201.0
STG-00224,WL-007,32,2019-05-15 19:51,121.0,Slickwater,30/50 Ceramic,Screen-out,7,2201.0,2268.0
STG-00225,WL-007,33,2019-05-16 13:45,166.0,Slickwater,100 Mesh Sand,Completed,7,2268.0,2336.0
STG-00226,WL-007,34,2019-05-17 14:52,96.0,Linear Gel,100 Mesh Sand,Completed,7,2336.0,2404.0
STG-00227,WL-007,35,2019-05-17 06:39,184.0,Linear Gel,100 Mesh Sand,Screen-out,4,2404.0,2472.0
STG-00228,WL-007,36,2019-05-15 18:49,221.0,Hybrid,100 Mesh Sand,Completed,5,2472.0,2539.0
STG-00229,WL-007,37,2019-05-15 17:42,99.0,Crosslinked Gel,20/40 RCP,Completed,8,2539.0,2607.0
STG-00230,WL-007,38,2019-05-17 01:53,211.0,Linear Gel,20/40 RCP,Completed,4,2607.0,2675.0
STG-00231,WL-008,1,2020-03-27 00:00,118.0,Hybrid,20/40 RCP,Completed,7,100.0,165.0
