param_id,stage_id,well_id,treating_pressure_psi,isip_psi,frac_closure_pressure_psi,net_pressure_psi,slurry_rate_bpm,max_rate_bpm,proppant_concentration_lb_gal,total_fluid_mgal,total_proppant_klb,fluid_efficiency_pct,breakdown_pressure_psi,friction_pressure_psi,bottomhole_pressure_psi
PRM-00011,STG-00012,WL-001,7971.0,3674.0,3414.0,4557.0,84.9,96.5,2.46,653.3,247.6,72.7,9518.0,2034.0,10448.0
PRM-00012,STG-00013,WL-001,6987.0,3644.0,3340.0,3647.0,88.7,90.9,0.99,384.5,416.5,57.6,8145.0,1998.0,8499.0
PRM-00013,STG-00014,WL-001,7890.0,3561.0,3253.0,4637.0,74.3,76.8,2.35,531.8,262.1,47.9,9288.0,2366.0,9485.0
PRM-00014,STG-00015,WL-001,7151.0,3734.0,3322.0,3829.0,86.5,98.4,0.74,491.2,284.6,74.7,7557.0,2418.0,9023.0
PRM-00015,STG-00016,WL-001,7447.0,3790.0,3440.0,4007.0,90.2,95.0,2.34,315.2,532.8,66.5,8100.0,2103.0,9306.0
PRM-00016,STG-00017,WL-001,6531.0,3127.0,2727.0,3804.0,96.7,97.3,0.7,731.1,366.0,36.4,7029.0,2587.0,8313.0
PRM-00017,STG-00018,WL-001,8085.0,4791.0,4320.0,3765.0,83.3,92.8,1.37,394.6,393.8,46.3,8917.0,2631.0,10531.0
PRM-00018,STG-00019,WL-001,7349.0,4167.0,3788.0,3561.0,79.1,81.3,1.5,528.9,253.1,48.3,8659.0,1531.0,8920.0
PRM-00019,STG-00020,WL-001,8237.0,3792.0,3531.0,4706.0,97.6,109.8,1.51,731.3,329.8,48.3,9506.0,2434.0,10392.0
PRM-00020,STG-00021,WL-001,6077.0,3122.0,2654.0,3423.0,61.5,65.3,0.76,384.4,463.3,55.9,6431.0,2757.0,7803.0
PRM-00021,STG-00022,WL-001,7756.0,3844.0,3548.0,4208.0,72.2,82.7,0.96,276.6,176.9,44.0,8915.0,2387.0,10104.0
PRM-00022,STG-00023,WL-001,6119.0,3052.0,2707.0,3412.0,88.5,100.5,2.13,538.2,244.4,67.3,7329.0,2407.0,8012.0
PRM-00023,STG-00024,WL-001,6958.0,3748.0,3452.0,3506.0,86.4,88.6,0.66,304.8,380.4,66.2,7915.0,2724.0,8500.0
PRM-00024,STG-00025,WL-001,8020.0,3966.0,3575.0,4445.0,88.6,95.4,2.02,270.9,214.8,49.8,9543.0,2524.0,10217.0
PRM-00025,STG-00026,WL-001,6298.0,3509.0,3238.0,3060.0,78.5,88.6,2.34,453.7,436.7,46.0,7375.0,1512.0,8143.0
PRM-00026,STG-00027,WL-001,7852.0,4390.0,3899.0,3953.0,82.5,84.5,2.39,521.1,362.4,66.4,9110.0,1815.0,9377.0
PRM-00027,STG-00028,WL-001,8123.0,4678.0,4181.0,3942.0,60.5,62.6,1.91,400.5,540.0,63.2,9525.0,2074.0,10590.0
PRM-00028,STG-00029,WL-001,7506.0,4187.0,3790.0,3716.0,94.5,100.1,0.86,441.4,476.2,40.3,8856.0,1452.0,9316.0
PRM-00029,STG-00030,WL-002,6972.0,3441.0,3011.0,3961.0,94.9,103.8,1.85,596.3,474.9,57.9,8192.0,2650.0,8484.0
PRM-00030,STG-00031,WL-002,7205.0,3835.0,3498.0,3707.0,71.5,75.1,1.11,454.1,308.6,64.3,8002.0,1309.0,9489.0
PRM-00031,STG-00032,WL-002,7615.0,3753.0,3211.0,4404.0,77.3,81.6,1.87,270.1,301.0,72.8,8729.0,2274.0,9747.0
PRM-00032,STG-00033,WL-002,7212.0,4058.0,3625.0,3587.0,64.1,73.5,1.06,280.0,279.9,37.7,8134.0,1487.0,9683.0
PRM-00033,STG-00034,WL-002,6439.0,3007.0,2683.0,3756.0,76.1,80.1,1.98,603.4,440.4,50.9,7016.0,1529.0,8422.0
PRM-00034,STG-00035,WL-002,6763.0,3710.0,3182.0,3581.0,98.7,112.8,1.71,742.9,205.2,46.9,7195.0,2158.0,8887.0
PRM-00035,STG-00036,WL-002,6697.0,3665.0,3207.0,3490.0,70.7,77.9,0.53,496.5,538.0,63.3,7645.0,1701.0,8468.0
PRM-00036,STG-00037,WL-002,8314.0,4922.0,4546.0,3768.0,64.2,72.7,0.81,381.8,530.4,43.1,9462.0,2322.0,10494.0
PRM-00037,STG-00038,WL-002,7717.0,3945.0,3531.0,4186.0,60.6,69.3,1.67,242.3,271.2,51.0,9075.0,1502.0,9889.0
PRM-00038,STG-00039,WL-002,7481.0,3470.0,3039.0,4442.0,89.9,95.8,2.33,398.7,339.0,63.9,7865.0,2143.0,9594.0
PRM-00039,STG-00040,WL-002,7361.0,4017.0,3494.0,3867.0,69.7,78.9,1.93,437.9,210.6,64.5,7744.0,1597.0,9075.0
PRM-00040,STG-00041,WL-002,9067.0,4165.0,3821.0,5246.0,43.8,44.3,1.97,340.0,403.8,73.1,10661.0,2488.0,11390.0
PRM-00041,STG-00042,WL-002,6835.0,4032.0,3727.0,3108.0,81.8,90.9,0.9,623.9,407.5,55.9,7247.0,1794.0,9256.0
PRM-00042,STG-00043,WL-002,8358.0,4098.0,3806.0,4552.0,74.7,79.8,2.29,230.9,426.1,60.2,9087.0,2329.0,10286.0
PRM-00043,STG-00044,WL-002,11691.0,6037.0,5629.0,6062.0,49.5,51.7,2.37,256.1,200.4,52.8,12314.0,1682.0,13694.0
PRM-00044,STG-00045,WL-002,7489.0,4412.0,4039.0,3450.0,64.2,66.7,2.03,506.9,329.9,41.4,8044.0,1313.0,9175.0
PRM-00045,STG-00046,WL-002,6948.0,3819.0,3288.0,3660.0,95.3,99.4,2.13,429.1,433.1,47.4,7556.0,2024.0,8984.0
PRM-00046,STG-00047,WL-002,6419.0,3686.0,3484.0,2935.0,91.6,96.1,1.12,671.0,518.8,49.2,7227.0,2706.0,8795.0
PRM-00047,STG-00048,WL-002,6442.0,2998.0,2606.0,3836.0,75.7,85.5,1.61,292.5,364.9,62.1,7574.0,2574.0,8690.0
PRM-00048,STG-00049,WL-002,9145.0,4335.0,3784.0,5361.0,86.9,88.4,0.86,671.6,436.4,41.6,9605.0,2350.0,11377.0
PRM-00049,STG-00050,WL-002,6595.0,3477.0,3013.0,3582.0,66.5,75.4,0.67,393.3,183.5,44.7,7275.0,1369.0,8317.0
PRM-00050,STG-00051,WL-002,9441.0,4596.0,4008.0,5433.0,62.3,71.3,1.28,381.0,264.1,59.7,10702.0,1865.0,11370.0
PRM-00051,STG-00052,WL-002,7846.0,4167.0,3750.0,4096.0,87.9,93.3,1.9,327.8,240.7,69.8,8981.0,2052.0,9461.0
PRM-00052,STG-00053,WL-002,6760.0,3384.0,3009.0,3751.0,65.7,74.5,1.88,490.1,253.7,43.2,7613.0,1871.0,8278.0
PRM-00053,STG-00054,WL-002,7704.0,4383.0,4001.0,3703.0,62.8,69.3,1.45,411.5,386.5,45.1,8101.0,2358.0,9740.0
PRM-00054,STG-00055,WL-002,7798.0,4496.0,4025.0,3773.0,79.4,81.6,1.17,384.2,473.0,69.2,9220.0,1946.0,9374.0
PRM-00055,STG-00056,WL-002,7811.0,3969.0,3400.0,4411.0,92.1,104.2,2.3,653.0,252.6,50.6,8836.0,2749.0,9378.0
PRM-00056,STG-00057,WL-002,7015.0,3552.0,3218.0,3797.0,92.2,96.6,1.37,681.5,550.1,43.8,7735.0,1796.0,8584.0
PRM-00057,STG-00058,WL-002,7669.0,3876.0,3569.0,4100.0,78.6,78.7,1.95,441.0,422.5,43.7,8814.0,1974.0,9174.0
PRM-00058,STG-00059,WL-002,7979.0,4247.0,3942.0,4037.0,62.7,69.8,2.03,442.4,395.1,67.1,8998.0,1425.0,10150.0
PRM-00059,STG-00060,WL-002,8035.0,4364.0,4098.0,3937.0,89.7,99.8,0.84,587.7,249.4,71.3,9351.0,2155.0,10189.0
PRM-00060,STG-00061,WL-002,7653.0,4170.0,3657.0,3996.0,66.3,68.3,1.45,499.0,444.9,47.6,8313.0,1544.0,9578.0
PRM-00061,STG-00062,WL-002,8253.0,4838.0,4449.0,3804.0,80.3,84.9,0.88,393.9,205.2,67.9,9482.0,2474.0,10025.0
PRM-00062,STG-00063,WL-002,6626.0,3915.0,3402.0,3224.0,85.5,94.4,1.15,508.5,277.4,43.7,7549.0,1623.0,8788.0
PRM-00063,STG-00064,WL-002,8212.0,4699.0,4036.0,4176.0,91.1,100.7,2.02,489.8,246.7,49.7,9155.0,1250.0,9972.0
PRM-00064,STG-00065,WL-002,7780.0,3546.0,3329.0,4451.0,86.7,90.9,1.15,387.4,512.9,71.0,9332.0,2521.0,10125.0
PRM-00065,STG-00066,WL-002,6248.0,3045.0,2892.0,3356.0,83.1,87.2,0.63,265.3,211.9,64.9,7316.0,2573.0,8746.0
PRM-00066,STG-00067,WL-002,6687.0,3032.0,2672.0,4015.0,74.4,81.7,2.07,532.5,388.6,44.3,7036.0,2423.0,8811.0
PRM-00067,STG-00068,WL-002,7305.0,4123.0,3737.0,3568.0,61.6,67.4,2.17,225.6,408.6,69.6,8313.0,2130.0,9796.0
PRM-00068,STG-00069,WL-002,7219.0,4015.0,3785.0,3434.0,75.6,86.1,0.96,520.7,400.1,48.7,8151.0,1539.0,9715.0
PRM-00069,STG-00070,WL-002,8751.0,5226.0,4752.0,3999.0,86.0,86.7,2.11,528.8,444.4,53.2,10074.0,2284.0,10624.0
PRM-00070,STG-00071,WL-002,9070.0,5030.0,4595.0,4475.0,85.9,93.6,1.05,282.9,234.9,42.2,10483.0,1928.0,11238.0
PRM-00071,STG-00072,WL-003,7503.0,4319.0,3934.0,3569.0,66.8,73.8,0.54,383.8,468.4,68.5,8782.0,2737.0,9539.0
PRM-00072,STG-00073,WL-003,7776.0,3678.0,3341.0,4435.0,47.2,51.4,1.05,315.6,521.7,49.2,8225.0,1251.0,9699.0
PRM-00073,STG-00074,WL-003,7263.0,3360.0,3077.0,4186.0,84.3,87.0,2.26,473.0,507.3,69.5,8592.0,1515.0,9500.0
PRM-00074,STG-00075,WL-003,8216.0,4926.0,4667.0,3549.0,61.2,65.5,2.29,429.8,409.7,68.9,8704.0,1736.0,9783.0
PRM-00075,STG-00076,WL-003,6995.0,4171.0,3581.0,3414.0,92.7,98.1,2.21,485.9,527.9,37.8,7566.0,1567.0,8964.0
PRM-00076,STG-00077,WL-003,9407.0,4469.0,4231.0,5176.0,34.4,36.7,2.45,108.6,460.9,46.1,11004.0,1722.0,11206.0
PRM-00077,STG-00078,WL-003,7272.0,3526.0,3235.0,4037.0,65.2,65.8,1.01,471.0,309.5,43.4,8518.0,1435.0,9115.0
PRM-00078,STG-00079,WL-003,7475.0,3703.0,3363.0,4112.0,82.5,88.8,2.11,418.6,227.8,40.8,8548.0,1638.0,9463.0
PRM-00079,STG-00080,WL-003,6821.0,3154.0,2699.0,4122.0,78.4,83.3,1.11,297.7,484.6,53.3,7904.0,2119.0,8988.0
PRM-00080,STG-00081,WL-003,7886.0,3920.0,3681.0,4205.0,81.5,86.0,2.18,471.0,547.2,42.8,8859.0,2387.0,9879.0
PRM-00081,STG-00082,WL-003,7795.0,4073.0,3628.0,4167.0,93.5,98.1,1.22,593.8,498.6,53.2,9076.0,1402.0,9491.0
PRM-00082,STG-00083,WL-003,9023.0,4723.0,4190.0,4833.0,85.8,94.3,0.96,671.7,383.5,40.6,10247.0,1496.0,10802.0
PRM-00083,STG-00084,WL-003,8801.0,4249.0,4006.0,4795.0,67.3,77.1,2.15,391.2,283.4,57.9,9430.0,1799.0,11099.0
PRM-00084,STG-00085,WL-003,6926.0,3695.0,3389.0,3537.0,93.8,96.9,2.09,482.2,242.0,43.7,8180.0,1599.0,8689.0
PRM-00085,STG-00086,WL-003,7316.0,3293.0,3046.0,4270.0,94.8,97.0,2.09,455.5,411.5,53.3,8067.0,1350.0,9302.0
PRM-00086,STG-00087,WL-003,6751.0,3279.0,3037.0,3714.0,96.3,98.5,1.44,297.7,351.1,54.5,7524.0,2155.0,9251.0
PRM-00087,STG-00088,WL-003,6966.0,3939.0,3360.0,3606.0,75.9,78.2,2.16,247.4,240.3,48.6,7848.0,2184.0,9377.0
PRM-00088,STG-00089,WL-003,7907.0,3618.0,3379.0,4528.0,61.4,62.9,1.6,449.7,340.6,36.0,8835.0,1580.0,9457.0
PRM-00089,STG-00090,WL-003,10641.0,5945.0,5156.0,5485.0,64.5,68.2,1.72,348.9,281.7,67.1,11799.0,2401.0,12266.0
PRM-00090,STG-00091,WL-003,6915.0,3814.0,3267.0,3648.0,82.6,82.8,2.36,455.2,321.5,68.1,7805.0,2440.0,8649.0
PRM-00091,STG-00092,WL-003,8106.0,4067.0,3836.0,4270.0,61.2,63.6,2.42,238.5,426.7,59.5,9336.0,1708.0,10454.0
PRM-00092,STG-00093,WL-003,6789.0,3342.0,3077.0,3712.0,98.5,107.7,0.52,496.4,444.7,74.6,7446.0,1744.0,8368.0
PRM-00093,STG-00094,WL-004,8264.0,4268.0,4027.0,4237.0,70.4,72.4,1.19,437.6,489.1,49.9,9828.0,1299.0,9856.0
PRM-00094,STG-00095,WL-004,7759.0,3667.0,3207.0,4552.0,98.7,105.7,1.39,484.2,364.3,61.5,9021.0,2406.0,9837.0
PRM-00095,STG-00096,WL-004,6582.0,3855.0,3279.0,3303.0,92.7,95.7,2.01,513.9,197.2,61.5,7317.0,1844.0,8967.0
PRM-00096,STG-00097,WL-004,8408.0,4126.0,3685.0,4723.0,67.6,76.0,0.87,429.3,304.6,39.8,9755.0,2050.0,10196.0
PRM-00097,STG-00098,WL-004,6615.0,3466.0,3003.0,3612.0,72.0,73.3,1.69,244.3,339.0,56.9,7841.0,1750.0,8848.0
PRM-00098,STG-00099,WL-004,7935.0,4548.0,4048.0,3887.0,82.7,86.8,1.81,261.2,513.1,35.4,9316.0,2482.0,9539.0
PRM-00099,STG-00100,WL-004,7660.0,4110.0,3582.0,4078.0,78.6,79.4,0.74,610.1,543.9,58.8,8892.0,1252.0,9819.0
PRM-00100,STG-00101,WL-004,6738.0,3206.0,2988.0,3750.0,82.7,94.9,1.09,411.3,528.0,45.4,8055.0,1890.0,8586.0
PRM-00101,STG-00102,WL-004,7562.0,3460.0,3019.0,4543.0,62.1,67.8,1.88,331.8,348.0,45.1,8595.0,1775.0,9886.0
PRM-00102,STG-00103,WL-004,7425.0,3732.0,3250.0,4175.0,74.5,75.4,2.11,578.2,299.4,53.7,8333.0,2545.0,9146.0
PRM-00103,STG-00104,WL-004,8561.0,4342.0,3890.0,4671.0,92.3,96.5,2.15,725.7,320.5,72.3,9141.0,2694.0,10745.0
PRM-00104,STG-00105,WL-004,7092.0,3697.0,3501.0,3591.0,76.3,82.7,0.82,305.1,422.4,63.6,7519.0,1868.0,8708.0
PRM-00105,STG-00106,WL-004,7528.0,4080.0,3613.0,3915.0,97.5,105.6,1.82,344.0,205.2,51.1,8846.0,2503.0,9640.0
PRM-00106,STG-00107,WL-004,6403.0,2983.0,2732.0,3671.0,74.2,75.0,1.33,259.3,429.7,50.8,6898.0,1451.0,8730.0
PRM-00107,STG-00108,WL-004,6932.0,3163.0,2865.0,4067.0,76.8,79.5,0.84,260.6,505.9,55.1,8039.0,2733.0,8652.0
PRM-00108,STG-00109,WL-004,7680.0,4182.0,3838.0,3842.0,76.1,81.0,2.0,554.9,375.5,64.3,9014.0,1434.0,10013.0
PRM-00109,STG-00110,WL-004,8054.0,4277.0,4027.0,4027.0,93.8,97.3,1.36,668.2,318.4,68.8,9041.0,2023.0,9862.0
PRM-00110,STG-00111,WL-004,6046.0,2756.0,2609.0,3437.0,70.9,75.1,0.51,257.3,543.0,64.1,6662.0,2274.0,8351.0
PRM-00111,STG-00112,WL-004,8108.0,4800.0,4555.0,3553.0,76.0,76.3,2.07,469.9,276.0,59.1,9315.0,2301.0,9728.0
PRM-00112,STG-00113,WL-004,6465.0,3207.0,2781.0,3684.0,81.9,87.0,1.33,550.4,236.4,65.3,7659.0,1335.0,8358.0
PRM-00113,STG-00114,WL-005,7958.0,3701.0,3206.0,4752.0,60.7,62.8,1.82,269.2,402.2,35.9,9353.0,2760.0,9593.0
PRM-00114,STG-00115,WL-005,7893.0,4649.0,4218.0,3675.0,76.8,81.3,0.6,523.8,191.1,36.1,8978.0,1218.0,10180.0
PRM-00115,STG-00116,WL-005,7214.0,3578.0,3390.0,3824.0,61.6,66.6,1.68,494.7,325.4,46.0,8342.0,1634.0,9618.0
PRM-00116,STG-00117,WL-005,8177.0,3742.0,3265.0,4912.0,77.0,79.6,2.16,377.7,478.3,67.7,9727.0,1353.0,10127.0
PRM-00117,STG-00118,WL-005,8098.0,4054.0,3751.0,4347.0,56.1,56.5,0.67,265.8,255.5,54.7,9040.0,1735.0,9993.0
PRM-00118,STG-00119,WL-005,6510.0,3488.0,3017.0,3493.0,92.2,95.9,2.02,678.4,234.0,49.4,7234.0,2288.0,8067.0
PRM-00119,STG-00120,WL-005,7588.0,3454.0,3157.0,4431.0,75.7,78.7,1.89,516.3,248.9,70.4,8987.0,1676.0,9318.0
PRM-00120,STG-00121,WL-005,6327.0,3485.0,3101.0,3226.0,93.0,95.2,1.85,328.1,485.3,64.5,6985.0,2274.0,8098.0
PRM-00121,STG-00122,WL-005,7099.0,3281.0,3109.0,3990.0,99.7,111.6,0.81,556.1,546.8,61.4,8069.0,2586.0,8888.0
PRM-00122,STG-00123,WL-005,9325.0,4771.0,4461.0,4864.0,77.1,79.4,1.16,357.5,387.8,72.4,10755.0,2517.0,11381.0
PRM-00123,STG-00124,WL-005,7006.0,3972.0,3730.0,3276.0,60.6,69.6,2.14,301.4,191.4,46.8,7577.0,2425.0,8759.0
PRM-00124,STG-00125,WL-005,8220.0,4099.0,3764.0,4456.0,87.1,94.6,1.69,661.4,402.4,52.2,8971.0,2430.0,9946.0
PRM-00125,STG-00126,WL-005,10161.0,5628.0,4907.0,5254.0,37.0,37.3,1.75,171.6,456.4,40.2,11593.0,2559.0,11706.0
PRM-00126,STG-00127,WL-005,6823.0,3560.0,3031.0,3792.0,97.2,98.4,1.16,761.0,350.8,45.3,7193.0,2210.0,8749.0
PRM-00127,STG-00128,WL-005,8500.0,4524.0,4282.0,4218.0,67.0,67.5,1.09,416.5,425.2,70.6,9661.0,2102.0,10500.0
PRM-00128,STG-00129,WL-005,6165.0,3622.0,3185.0,2980.0,76.3,82.3,0.79,343.5,444.2,62.9,7306.0,2468.0,8341.0
PRM-00129,STG-00130,WL-005,8347.0,4607.0,4041.0,4306.0,97.8,101.0,1.09,627.6,176.8,61.5,9558.0,2150.0,9863.0
PRM-00130,STG-00131,WL-005,6776.0,3725.0,3201.0,3575.0,82.3,92.6,1.19,577.9,226.8,71.7,7775.0,1365.0,8678.0
PRM-00131,STG-00132,WL-005,8438.0,4720.0,4348.0,4090.0,91.2,96.1,0.74,318.7,176.4,45.2,8876.0,2064.0,10789.0
PRM-00132,STG-00133,WL-005,7564.0,3988.0,3632.0,3932.0,63.4,67.1,1.6,210.9,318.8,44.6,8050.0,1704.0,9161.0
PRM-00133,STG-00134,WL-005,7943.0,3785.0,3548.0,4395.0,99.5,114.4,1.39,521.5,375.7,58.3,9308.0,1723.0,9749.0
PRM-00134,STG-00135,WL-005,8841.0,4883.0,4213.0,4628.0,72.6,78.9,0.77,348.8,413.4,62.7,10212.0,2406.0,11214.0
PRM-00135,STG-00136,WL-005,6744.0,3541.0,3019.0,3725.0,89.2,93.0,1.74,332.7,246.3,52.7,7705.0,2560.0,8440.0
PRM-00136,STG-00137,WL-005,7457.0,4011.0,3452.0,4005.0,81.7,88.9,0.67,502.4,197.7,56.8,8091.0,2220.0,9777.0
PRM-00137,STG-00138,WL-005,6714.0,3063.0,2698.0,4016.0,79.9,87.3,1.88,276.5,270.9,70.9,7865.0,2133.0,8944.0
PRM-00138,STG-00139,WL-005,8620.0,4482.0,3970.0,4650.0,67.6,76.8,1.9,229.4,384.9,35.8,9459.0,1291.0,10887.0
PRM-00139,STG-00140,WL-005,6426.0,3568.0,3303.0,3123.0,73.3,78.3,1.85,482.7,324.8,51.5,7648.0,1601.0,8046.0
PRM-00140,STG-00141,WL-005,7843.0,3974.0,3442.0,4401.0,62.5,68.7,1.18,216.3,366.0,74.9,8767.0,1768.0,9744.0
PRM-00141,STG-00142,WL-005,7562.0,3534.0,3237.0,4325.0,95.3,101.6,1.33,467.5,321.5,60.9,8010.0,2502.0,10003.0
PRM-00142,STG-00143,WL-005,10120.0,4784.0,4258.0,5862.0,44.3,46.5,1.7,315.6,394.4,40.1,11221.0,1460.0,12354.0
PRM-00143,STG-00144,WL-005,7605.0,3660.0,3430.0,4175.0,62.3,67.7,1.6,498.2,399.4,48.8,8901.0,2064.0,9184.0
PRM-00144,STG-00145,WL-005,8189.0,4172.0,3727.0,4462.0,71.9,78.3,0.79,352.7,233.1,38.2,9753.0,2408.0,10276.0
PRM-00145,STG-00146,WL-005,7611.0,4371.0,4078.0,3533.0,63.2,70.6,1.45,439.6,412.5,46.1,9066.0,1399.0,9986.0
PRM-00146,STG-00147,WL-005,7849.0,4216.0,3925.0,3924.0,97.4,111.3,1.84,504.0,356.7,35.9,9398.0,1338.0,10163.0
PRM-00147,STG-00148,WL-005,5474.0,2693.0,2392.0,3082.0,65.3,65.8,1.38,234.8,417.7,59.0,6489.0,1813.0,7190.0
PRM-00148,STG-00149,WL-005,7014.0,4020.0,3739.0,3275.0,93.1,100.8,1.68,287.8,308.7,68.0,8029.0,2455.0,9113.0
PRM-00149,STG-00150,WL-005,7438.0,3809.0,3322.0,4116.0,98.3,107.5,1.58,323.7,403.1,57.9,8016.0,1295.0,9542.0
PRM-00150,STG-00151,WL-005,7613.0,3685.0,3192.0,4421.0,86.7,89.1,0.66,314.6,342.0,43.1,8435.0,1282.0,9511.0
PRM-00151,STG-00152,WL-005,8771.0,4620.0,3994.0,4777.0,79.3,85.3,1.27,538.2,490.9,37.5,9303.0,2118.0,10837.0
PRM-00152,STG-00153,WL-005,7625.0,4529.0,3934.0,3691.0,61.9,66.9,0.7,486.7,192.9,60.8,8058.0,2714.0,9967.0
PRM-00153,STG-00154,WL-005,8319.0,4114.0,3548.0,4771.0,63.1,68.0,0.84,282.0,223.9,44.8,9182.0,2783.0,10503.0
PRM-00154,STG-00155,WL-006,10582.0,4884.0,4352.0,6230.0,30.1,32.3,1.84,125.4,416.9,51.6,11149.0,1737.0,12259.0
PRM-00155,STG-00156,WL-006,8115.0,3772.0,3325.0,4790.0,58.7,62.2,1.7,181.5,449.5,44.5,8639.0,1486.0,10413.0
PRM-00156,STG-00157,WL-006,7909.0,4123.0,3649.0,4260.0,96.9,108.3,0.65,312.6,281.5,74.7,8590.0,2599.0,10240.0
PRM-00157,STG-00158,WL-006,9048.0,4377.0,3800.0,5248.0,76.0,85.1,1.32,431.6,543.0,48.4,10492.0,1872.0,11126.0
PRM-00158,STG-00159,WL-006,7848.0,4552.0,4058.0,3790.0,62.4,67.5,1.88,211.8,228.8,51.1,8852.0,2794.0,9483.0
PRM-00159,STG-00160,WL-006,7880.0,4344.0,4105.0,3775.0,75.8,85.8,0.77,598.5,235.9,71.3,9446.0,1533.0,9735.0
PRM-00160,STG-00161,WL-006,7342.0,3765.0,3261.0,4081.0,74.3,79.6,1.69,459.4,392.1,57.1,8337.0,1536.0,9584.0
PRM-00161,STG-00162,WL-006,9154.0,4154.0,3639.0,5515.0,74.2,81.9,2.06,393.9,387.7,57.7,10705.0,2376.0,11264.0
PRM-00162,STG-00163,WL-006,6611.0,3234.0,2842.0,3769.0,76.8,76.9,1.7,459.3,368.9,54.8,7225.0,2375.0,8135.0
PRM-00163,STG-00164,WL-006,7471.0,4017.0,3451.0,4020.0,97.7,106.9,0.85,318.4,353.1,57.0,8301.0,2034.0,9868.0
PRM-00164,STG-00165,WL-006,7683.0,4484.0,4148.0,3535.0,83.9,95.4,2.12,656.8,337.4,57.9,8275.0,1630.0,9382.0
PRM-00165,STG-00166,WL-006,8359.0,4071.0,3634.0,4725.0,72.3,79.0,1.61,383.8,396.7,38.3,8887.0,1475.0,10377.0
PRM-00166,STG-00167,WL-006,6943.0,3541.0,3247.0,3696.0,92.5,103.6,0.53,410.3,419.7,72.3,7311.0,1446.0,9329.0
PRM-00167,STG-00168,WL-006,6765.0,3510.0,3311.0,3454.0,82.6,95.0,1.83,444.1,430.9,63.8,7395.0,2608.0,8314.0
PRM-00168,STG-00169,WL-006,7769.0,3795.0,3416.0,4353.0,68.8,75.8,0.78,411.5,498.3,44.6,9041.0,2416.0,9582.0
PRM-00169,STG-00170,WL-006,7318.0,3744.0,3532.0,3786.0,68.4,71.5,2.45,542.4,418.3,66.3,8525.0,2307.0,9784.0
PRM-00170,STG-00171,WL-006,6711.0,3696.0,3328.0,3383.0,89.2,93.4,1.65,584.4,253.9,52.1,7696.0,2392.0,8443.0
PRM-00171,STG-00172,WL-006,7273.0,3715.0,3496.0,3777.0,70.8,74.7,0.9,323.5,470.0,65.1,8615.0,2554.0,8956.0
PRM-00172,STG-00173,WL-006,7401.0,3707.0,3243.0,4158.0,62.5,65.5,1.47,405.3,217.2,67.4,8743.0,1684.0,9760.0
PRM-00173,STG-00174,WL-006,7866.0,4551.0,4298.0,3568.0,90.6,99.9,0.79,691.0,435.1,48.3,8850.0,2233.0,9877.0
PRM-00174,STG-00175,WL-006,7212.0,4113.0,3631.0,3581.0,94.5,103.9,0.77,736.6,533.3,65.1,8451.0,2713.0,9025.0
PRM-00175,STG-00176,WL-006,6918.0,4004.0,3675.0,3243.0,65.3,67.8,1.91,399.3,454.4,69.9,7439.0,1286.0,9135.0
PRM-00176,STG-00177,WL-006,8453.0,4290.0,3728.0,4725.0,66.7,73.9,2.17,515.5,382.1,55.4,9642.0,1937.0,10782.0
