pdat_id,stage_id,well_id,test_type,closure_pressure_psi,reservoir_pressure_psi,permeability_nd,fracture_gradient_psi_ft,skin_factor,leakoff_coefficient_Cw,contact_half_length_m,fracture_height_m,pdat_analyst,analysis_date,formation,aspect_ratio
PDT-00054,STG-00055,WL-002,Minifrac,6443.0,5166.0,0.025519,0.795,-2.01,0.002754,370.29999999999995,59.4,M. Gonzalez,2018-12-23,Loma Amarilla,0.16
PDT-00055,STG-00056,WL-002,DFIT,6062.0,4116.0,0.038544,0.823,1.11,0.0029665,241.49999999999997,55.800000000000004,M. Gonzalez,2018-12-23,Loma Amarilla,0.231
PDT-00056,STG-00057,WL-002,DFIT,5371.0,5738.0,0.010949,0.703,-0.25,0.0011049999999999999,167.89999999999998,28.8,M. Gonzalez,2018-12-23,Loma Amarilla,0.172
PDT-00057,STG-00058,WL-002,Minifrac,6234.0,5939.0,0.012909,0.739,-0.89,0.002108,308.2,78.3,R. Perez,2018-12-24,Loma Amarilla,0.254
PDT-00058,STG-00059,WL-002,Minifrac,4952.0,5260.0,0.022569,0.742,-2.21,0.0037995,346.15,78.3,R. Perez,2018-12-25,Loma Amarilla,0.226
PDT-00059,STG-00060,WL-002,Minifrac,5914.0,4410.0,0.045912,0.688,0.06000000000000005,0.0041225,317.4,107.10000000000001,M. Gonzalez,2018-12-25,Loma Amarilla,0.337
PDT-00060,STG-00061,WL-002,Minifrac,5122.0,4796.0,0.041154,0.673,0.35,0.002873,197.79999999999998,36.9,S. Dottori,2018-12-23,Loma Amarilla,0.187
PDT-00061,STG-00062,WL-002,StepRate,5105.0,5747.0,0.03778,0.694,-1.99,0.0017679999999999998,331.2,77.4,M. Gonzalez,2018-12-24,Loma Amarilla,0.234
PDT-00062,STG-00063,WL-002,DFIT,6303.0,4699.0,0.029198,0.658,-2.0300000000000002,0.0009945,242.64999999999998,38.7,S. Dottori,2018-12-24,Loma Amarilla,0.159
PDT-00063,STG-00064,WL-002,Minifrac,4903.0,6447.0,0.035229,0.801,-5.04,0.003349,332.34999999999997,81.0,S. Dottori,2018-12-26,Loma Amarilla,0.244
PDT-00064,STG-00065,WL-002,DFIT,6708.0,4907.0,0.030755,0.756,-2.85,0.0019124999999999997,264.5,38.7,R. Perez,2018-12-25,Loma Amarilla,0.146
PDT-00065,STG-00066,WL-002,Minifrac,5492.0,5245.0,0.031452,0.834,-4.25,0.0015555,394.45,56.7,R. Perez,2018-12-24,Loma Amarilla,0.144
PDT-00066,STG-00067,WL-002,Minifrac,4839.0,5709.0,0.003609,0.801,-1.67,0.0014874999999999999,359.95,107.10000000000001,M. Gonzalez,2018-12-26,Loma Amarilla,0.298
PDT-00067,STG-00068,WL-002,DFIT,6015.0,4985.0,0.04671,0.757,-0.64,0.0038505,138.0,45.9,M. Gonzalez,2018-12-27,Loma Amarilla,0.333
PDT-00068,STG-00069,WL-002,Minifrac,6215.0,5018.0,0.021025,0.665,-5.45,0.002448,221.95,91.8,M. Gonzalez,2018-12-27,Loma Amarilla,0.414
PDT-00069,STG-00070,WL-002,StepRate,4990.0,6473.0,0.014966,0.778,-1.99,0.0018019999999999998,135.7,37.800000000000004,R. Perez,2018-12-25,Loma Amarilla,0.279
PDT-00070,STG-00071,WL-002,Minifrac,5555.0,3852.0,0.049277,0.723,-0.04999999999999999,0.0016745,239.2,58.5,S. Dottori,2018-12-25,Loma Amarilla,0.245
PDT-00071,STG-00072,WL-003,DFIT,5006.0,4640.0,0.029549,0.716,1.43,0.0044145,237.0,93.75,M. Gonzalez,2018-04-20,La Cocina,0.396
PDT-00073,STG-00074,WL-003,StepRate,5254.0,5026.0,0.026355,0.82,2.7199999999999998,0.006318000000000001,61.5,141.25,M. Gonzalez,2018-04-20,La Cocina,2.297
PDT-00074,STG-00075,WL-003,DFIT,5451.0,5985.0,0.029392,0.777,-0.17000000000000015,0.005656500000000001,238.5,132.5,M. Gonzalez,2018-04-20,La Cocina,0.556
PDT-00075,STG-00076,WL-003,DFIT,5985.0,5372.0,0.026444,0.746,-3.1799999999999997,0.001296,243.0,108.75,S. Dottori,2018-04-20,La Cocina,0.448
PDT-00077,STG-00078,WL-003,Minifrac,6174.0,6341.0,0.036993,0.758,2.73,0.0035775000000000004,174.0,105.0,M. Gonzalez,2018-04-20,La Cocina,0.603
PDT-00078,STG-00079,WL-003,DFIT,6238.0,5939.0,0.009592,0.796,2.8899999999999997,0.006183,219.75,117.5,S. Dottori,2018-04-21,La Cocina,0.535
PDT-00079,STG-00080,WL-003,Minifrac,6108.0,4898.0,0.024701,0.789,2.86,0.0024705,110.25,105.0,M. Gonzalez,2018-04-21,La Cocina,0.952
PDT-00080,STG-00081,WL-003,StepRate,5639.0,5728.0,0.03965,0.749,2.2,0.003996,143.25,50.0,M. Gonzalez,2018-04-21,La Cocina,0.349
PDT-00081,STG-00082,WL-003,DFIT,5627.0,3835.0,0.038549,0.658,2.01,0.0039555,167.25,116.25,M. Gonzalez,2018-04-21,La Cocina,0.695
PDT-00082,STG-00083,WL-003,Minifrac,4721.0,5770.0,0.030142,0.782,2.49,0.0054405,218.25,141.25,S. Dottori,2018-04-21,La Cocina,0.647
PDT-00083,STG-00084,WL-003,Minifrac,4772.0,5040.0,0.039401,0.656,-3.3999999999999995,0.0010800000000000002,207.75,93.75,R. Perez,2018-04-21,La Cocina,0.451
PDT-00084,STG-00085,WL-003,Minifrac,6633.0,5779.0,0.030795,0.824,-2.66,0.0063315,252.0,135.0,S. Dottori,2018-04-22,La Cocina,0.536
PDT-00085,STG-00086,WL-003,Minifrac,5073.0,4229.0,0.039144,0.792,-2.5200000000000005,0.0013770000000000002,229.5,125.0,R. Perez,2018-04-23,La Cocina,0.545
PDT-00086,STG-00087,WL-003,DFIT,6265.0,4196.0,0.039276,0.699,1.3599999999999999,0.0034425000000000007,259.5,102.5,R. Perez,2018-04-23,La Cocina,0.395
PDT-00087,STG-00088,WL-003,DFIT,5404.0,5843.0,0.018509,0.793,-1.2100000000000002,0.00324,174.0,145.0,M. Gonzalez,2018-04-22,La Cocina,0.833
PDT-00088,STG-00089,WL-003,DFIT,6020.0,6363.0,0.049487,0.747,-0.52,0.00459,172.5,108.75,S. Dottori,2018-04-22,La Cocina,0.63
PDT-00089,STG-00090,WL-003,DFIT,5653.0,5438.0,0.016615,0.752,-2.8899999999999997,0.0034155000000000006,78.75,42.5,M. Gonzalez,2018-04-23,La Cocina,0.54
PDT-00090,STG-00091,WL-003,Minifrac,5197.0,5211.0,0.017314,0.671,2.91,0.0058725,75.75,118.75,M. Gonzalez,2018-04-23,La Cocina,1.568
PDT-00091,STG-00092,WL-003,StepRate,5256.0,4445.0,0.028438,0.817,-2.45,0.004981500000000001,72.75,141.25,M. Gonzalez,2018-04-22,La Cocina,1.942
PDT-00092,STG-00093,WL-003,StepRate,5727.0,5010.0,0.048668,0.848,0.75,0.0014445,162.75,97.5,S. Dottori,2018-04-24,La Cocina,0.599
PDT-00093,STG-00094,WL-004,Minifrac,6202.0,5266.0,0.040548,0.78,2.34,0.0029835000000000005,179.25,135.0,M. Gonzalez,2021-07-31,La Cocina,0.753
PDT-00094,STG-00095,WL-004,Minifrac,5202.0,5169.0,0.038689,0.791,-2.9699999999999998,0.004266000000000001,256.5,55.0,R. Perez,2021-07-31,La Cocina,0.214
PDT-00095,STG-00096,WL-004,Minifrac,4957.0,4133.0,0.003082,0.654,2.3499999999999996,0.005589,174.75,150.0,M. Gonzalez,2021-07-31,La Cocina,0.858
PDT-00096,STG-00097,WL-004,Minifrac,6104.0,6162.0,0.039263,0.672,-1.1300000000000001,0.0053865,144.75,147.5,R. Perez,2021-07-31,La Cocina,1.019
PDT-00097,STG-00098,WL-004,DFIT,6700.0,4072.0,0.007112,0.797,2.25,0.0039285,118.5,77.5,R. Perez,2021-07-31,La Cocina,0.654
PDT-00098,STG-00099,WL-004,Minifrac,6702.0,4505.0,0.004845,0.677,1.75,0.003321,87.0,76.25,S. Dottori,2021-07-31,La Cocina,0.876
PDT-00099,STG-00100,WL-004,DFIT,4861.0,5262.0,0.03076,0.746,0.3899999999999999,0.0017685,156.75,111.25,R. Perez,2021-08-01,La Cocina,0.71
PDT-00100,STG-00101,WL-004,Minifrac,6272.0,5337.0,0.04014,0.776,1.72,0.004914,99.0,43.75,S. Dottori,2021-08-01,La Cocina,0.442
PDT-00101,STG-00102,WL-004,DFIT,6967.0,4512.0,0.006418,0.724,1.3699999999999999,0.002457,176.25,83.75,R. Perez,2021-08-01,La Cocina,0.475
PDT-00102,STG-00103,WL-004,DFIT,5511.0,4802.0,0.031386,0.652,1.54,0.005170500000000001,228.0,132.5,R. Perez,2021-08-01,La Cocina,0.581
PDT-00103,STG-00104,WL-004,DFIT,6879.0,4315.0,0.045789,0.702,-3.08,0.0033480000000000003,184.5,63.75,S. Dottori,2021-08-01,La Cocina,0.346
PDT-00104,STG-00105,WL-004,Minifrac,6585.0,3835.0,0.017788,0.799,-3.25,0.0041175000000000005,147.0,40.0,S. Dottori,2021-08-02,La Cocina,0.272
PDT-00105,STG-00106,WL-004,Minifrac,6313.0,6103.0,0.008773,0.695,-0.3900000000000001,0.0058590000000000005,99.75,146.25,M. Gonzalez,2021-08-02,La Cocina,1.466
PDT-00106,STG-00107,WL-004,DFIT,4918.0,5382.0,0.045885,0.701,0.07000000000000006,0.0017415,187.5,51.25,M. Gonzalez,2021-08-02,La Cocina,0.273
PDT-00107,STG-00108,WL-004,StepRate,5647.0,4362.0,0.035379,0.707,-1.93,0.006021000000000001,93.0,45.0,S. Dottori,2021-08-02,La Cocina,0.484
PDT-00108,STG-00109,WL-004,DFIT,5328.0,3876.0,0.02255,0.78,1.91,0.002295,164.25,112.5,M. Gonzalez,2021-08-02,La Cocina,0.685
PDT-00109,STG-00110,WL-004,DFIT,6491.0,4268.0,0.045258,0.841,-1.24,0.0029565000000000004,210.75,88.75,S. Dottori,2021-08-02,La Cocina,0.421
PDT-00110,STG-00111,WL-004,DFIT,5572.0,4431.0,0.002777,0.736,1.72,0.005022,234.0,38.75,M. Gonzalez,2021-08-02,La Cocina,0.166
PDT-00111,STG-00112,WL-004,StepRate,6648.0,3821.0,0.002623,0.772,0.58,0.006007500000000001,187.5,62.5,M. Gonzalez,2021-08-02,La Cocina,0.333
PDT-00112,STG-00113,WL-004,Minifrac,5658.0,4043.0,0.049828,0.76,1.0999999999999999,0.0031455000000000003,171.0,143.75,M. Gonzalez,2021-08-02,La Cocina,0.841
PDT-00113,STG-00114,WL-005,DFIT,4880.0,5939.0,0.003196,0.666,-2.91,0.00281,190.0,34.0,S. Dottori,2020-07-29,Organico,0.179
PDT-00114,STG-00115,WL-005,DFIT,4757.0,3821.0,0.002852,0.689,-1.8,0.00059,122.0,100.0,M. Gonzalez,2020-07-29,Organico,0.82
PDT-00115,STG-00116,WL-005,Minifrac,5704.0,5568.0,0.009545,0.757,-2.77,0.00287,291.0,99.0,R. Perez,2020-07-29,Organico,0.34
PDT-00116,STG-00117,WL-005,DFIT,5828.0,6343.0,0.028674,0.835,-2.25,0.00335,321.0,83.0,S. Dottori,2020-07-29,Organico,0.259
PDT-00118,STG-00119,WL-005,StepRate,4552.0,5082.0,0.046565,0.729,-2.0,0.0031,205.0,45.0,R. Perez,2020-07-29,Organico,0.22
PDT-00119,STG-00120,WL-005,DFIT,5105.0,3896.0,0.013852,0.789,-2.02,0.00283,328.0,40.0,R. Perez,2020-07-29,Organico,0.122
PDT-00120,STG-00121,WL-005,StepRate,5902.0,5579.0,0.018448,0.806,-3.83,0.00072,187.0,107.0,M. Gonzalez,2020-07-30,Organico,0.572
PDT-00121,STG-00122,WL-005,Minifrac,5452.0,5224.0,0.001563,0.662,-0.27,0.00395,272.0,96.0,R. Perez,2020-07-30,Organico,0.353
PDT-00122,STG-00123,WL-005,Minifrac,5430.0,5469.0,0.028815,0.729,-2.85,0.00233,235.0,69.0,M. Gonzalez,2020-07-30,Organico,0.294
PDT-00123,STG-00124,WL-005,StepRate,6003.0,5996.0,0.032543,0.764,-0.07,0.00194,330.0,40.0,R. Perez,2020-07-30,Organico,0.121
PDT-00124,STG-00125,WL-005,StepRate,5114.0,3825.0,0.021747,0.722,-1.23,0.00409,307.0,66.0,R. Perez,2020-07-31,Organico,0.215
PDT-00126,STG-00127,WL-005,DFIT,5263.0,3897.0,0.007529,0.79,-2.43,0.00253,122.0,91.0,R. Perez,2020-07-31,Organico,0.746
PDT-00127,STG-00128,WL-005,DFIT,6499.0,5047.0,0.00752,0.795,-3.69,0.00382,209.0,71.0,R. Perez,2020-07-31,Organico,0.34
PDT-00128,STG-00129,WL-005,DFIT,4724.0,4864.0,0.029929,0.724,-0.06,0.00384,268.0,114.0,S. Dottori,2020-07-31,Organico,0.425
PDT-00129,STG-00130,WL-005,Minifrac,6230.0,6018.0,0.03232,0.73,-1.7,0.00373,317.0,54.0,S. Dottori,2020-07-31,Organico,0.17
PDT-00130,STG-00131,WL-005,DFIT,4850.0,4876.0,0.024781,0.776,-1.47,0.00292,86.0,53.0,S. Dottori,2020-08-01,Organico,0.616
PDT-00131,STG-00132,WL-005,Minifrac,6723.0,4691.0,0.003196,0.745,-3.11,0.00372,338.0,92.0,R. Perez,2020-07-31,Organico,0.272
PDT-00132,STG-00133,WL-005,StepRate,6587.0,5362.0,0.033802,0.775,-0.34,0.00169,190.0,83.0,M. Gonzalez,2020-08-02,Organico,0.437
PDT-00133,STG-00134,WL-005,DFIT,6649.0,5129.0,0.027661,0.69,0.56,0.00211,338.0,119.0,M. Gonzalez,2020-08-02,Organico,0.352
PDT-00134,STG-00135,WL-005,Minifrac,6623.0,4174.0,0.001635,0.837,-3.97,0.00414,302.0,94.0,R. Perez,2020-08-01,Organico,0.311
PDT-00135,STG-00136,WL-005,Minifrac,4647.0,4365.0,0.027908,0.787,-4.04,0.0016,132.0,50.0,M. Gonzalez,2020-08-02,Organico,0.379
PDT-00136,STG-00137,WL-005,Minifrac,6378.0,4347.0,0.03341,0.78,1.31,0.00424,333.0,108.0,M. Gonzalez,2020-08-02,Organico,0.324
PDT-00137,STG-00138,WL-005,StepRate,4822.0,4516.0,0.045973,0.839,-1.61,0.00219,156.0,75.0,S. Dottori,2020-08-01,Organico,0.481
PDT-00138,STG-00139,WL-005,StepRate,6564.0,5017.0,0.01945,0.698,-2.39,0.001,342.0,82.0,S. Dottori,2020-08-02,Organico,0.24
PDT-00139,STG-00140,WL-005,StepRate,6960.0,4971.0,0.024339,0.711,-2.8,0.00272,134.0,94.0,R. Perez,2020-08-01,Organico,0.701
PDT-00140,STG-00141,WL-005,StepRate,6526.0,4671.0,0.02534,0.8,-3.65,0.00064,310.0,42.0,M. Gonzalez,2020-08-03,Organico,0.135
PDT-00141,STG-00142,WL-005,Minifrac,5120.0,4058.0,0.021253,0.833,0.07,0.00417,315.0,118.0,S. Dottori,2020-08-03,Organico,0.375
PDT-00143,STG-00144,WL-005,DFIT,6950.0,4898.0,0.025915,0.689,-0.72,0.00415,238.0,101.0,R. Perez,2020-08-04,Organico,0.424
PDT-00144,STG-00145,WL-005,DFIT,5762.0,4791.0,0.037464,0.825,1.18,0.00152,322.0,61.0,M. Gonzalez,2020-08-02,Organico,0.189
PDT-00145,STG-00146,WL-005,Minifrac,5262.0,3943.0,0.018744,0.794,-2.71,0.00333,258.0,96.0,S. Dottori,2020-08-02,Organico,0.372
PDT-00146,STG-00147,WL-005,StepRate,5263.0,4329.0,0.04631,0.671,-4.64,0.00446,269.0,68.0,S. Dottori,2020-08-06,Organico,0.253
PDT-00147,STG-00148,WL-005,Minifrac,6530.0,5915.0,0.034141,0.738,1.89,0.00306,135.0,56.0,S. Dottori,2020-08-04,Organico,0.415
PDT-00148,STG-00149,WL-005,StepRate,4947.0,4022.0,0.044088,0.833,-3.07,0.0022,258.0,60.0,M. Gonzalez,2020-08-03,Organico,0.233
PDT-00149,STG-00150,WL-005,StepRate,4649.0,4885.0,0.049419,0.77,-1.4,0.0013,233.0,70.0,S. Dottori,2020-08-03,Organico,0.3
PDT-00150,STG-00151,WL-005,DFIT,6177.0,4409.0,0.012092,0.765,-1.08,0.00396,285.0,90.0,R. Perez,2020-08-06,Organico,0.316
PDT-00151,STG-00152,WL-005,DFIT,4779.0,5040.0,0.032978,0.721,-3.65,0.00419,178.0,47.0,S. Dottori,2020-08-07,Organico,0.264
PDT-00152,STG-00153,WL-005,Minifrac,5207.0,4297.0,0.00279,0.765,-0.18,0.00197,246.0,35.0,S. Dottori,2020-08-05,Organico,0.142
PDT-00153,STG-00154,WL-005,Minifrac,5420.0,5613.0,0.041603,0.821,-3.79,0.00269,278.0,100.0,R. Perez,2020-08-07,Organico,0.36
PDT-00156,STG-00157,WL-006,DFIT,5061.0,5949.0,0.04917,0.655,-0.17,0.00169,98.0,31.0,S. Dottori,2022-05-21,Organico,0.316
PDT-00157,STG-00158,WL-006,DFIT,6986.0,4994.0,0.009461,0.805,1.49,0.00417,281.0,60.0,R. Perez,2022-05-21,Organico,0.214
PDT-00158,STG-00159,WL-006,DFIT,5617.0,6382.0,0.03617,0.816,-3.06,0.00358,313.0,73.0,S. Dottori,2022-05-21,Organico,0.233
PDT-00159,STG-00160,WL-006,Minifrac,5900.0,6482.0,0.021313,0.685,-1.7,0.00156,232.0,41.0,M. Gonzalez,2022-05-21,Organico,0.177
PDT-00160,STG-00161,WL-006,DFIT,6107.0,4219.0,0.020778,0.776,0.48,0.00358,261.0,43.0,R. Perez,2022-05-22,Organico,0.165
PDT-00161,STG-00162,WL-006,DFIT,6349.0,6367.0,0.00694,0.752,-4.6,0.00143,104.0,66.0,R. Perez,2022-05-22,Organico,0.635
PDT-00162,STG-00163,WL-006,StepRate,6572.0,4155.0,0.046098,0.74,-2.4,0.00257,305.0,89.0,R. Perez,2022-05-22,Organico,0.292
PDT-00163,STG-00164,WL-006,Minifrac,4535.0,5501.0,0.027621,0.812,-1.28,0.00209,146.0,38.0,M. Gonzalez,2022-05-23,Organico,0.26
PDT-00164,STG-00165,WL-006,Minifrac,6318.0,5094.0,0.01444,0.723,1.01,0.00261,138.0,114.0,S. Dottori,2022-05-23,Organico,0.826
PDT-00165,STG-00166,WL-006,DFIT,6997.0,5676.0,0.008097,0.697,-0.15,0.00401,145.0,53.0,R. Perez,2022-05-23,Organico,0.366
PDT-00166,STG-00167,WL-006,StepRate,5077.0,4030.0,0.015757,0.782,-2.42,0.00297,281.0,67.0,S. Dottori,2022-05-23,Organico,0.238
